"topic","label"
1,"Business"
10,"Minority"
100,"Business"
101,"NHL"
103,"Real_Estate"
104,"Energy"
105,"Impeachment"
106,"Higher_Education"
107,"Economy"
108,"Fashion"
109,"Museum"
11,"Investigation"
110,"Baseball"
112,"CollegeSports"
113,"Automotive"
114,"New_York_City_Politics"
118,"Television"
119,"Building"
12,"Family"
120,"Bakery"
121,"North_Korea"
122,"Labor"
123,"Cognitive"
124,"Bridge"
125,"Murder"
126,"Getty_images"
127,"New_York_City"
128,"Burglary"
129,"Sex_Scandal"
13,"Disaster"
130,"Election"
131,"Movie"
132,"Music"
133,"Boxing"
134,"Investing"
136,"Summer"
137,"Latin_America"
138,"Party"
139,"Iranian_diplomacy"
14,"Judicial"
140,"Language"
141,"Substance Abuse"
142,"House_Speakership"
144,"FinancialPlanning"
145,"Basketball"
147,"Confederate"
149,"Bankruptcy"
15,"DomesticViolence"
150,"NuclearArms"
151,"Population"
152,"Golf"
153,"Retail"
154,"Lawyer"
157,"Horseback"
159,"Kentucky Politics"
16,"Abortion"
160,"Murder"
161,"Bill_Clinton"
162,"Trade"
163,"Presidential"
165,"Healthcare"
166,"LocalPolitics"
168,"Congressional"
169,"Household"
17,"Workers"
170,"Wine"
171,"Marriage"
172,"Catholicism"
174,"Fiscal"
176,"Railroad"
177,"Beverage"
178,"Identity"
18,"Investments"
180,"New_York_Politics"
181,"SundayMorning"
182,"Tennis"
183,"Real_Estate"
185,"CriminalJustice"
186,"China"
187,"Community_events"
188,"Electricity"
189,"Water"
19,"Murder"
191,"Election"
192,"Gun_Control"
194,"Aaron_Hoffman"
196,"Ice_cream"
197,"Air Pollution"
198,"Housing"
2,"Economy"
20,"Festival"
200,"Whistleblower"
201,"PublicOpinion"
202,"Privacy"
204,"Taxation"
205,"Diplomacy"
206,"Corporate"
207,"MentalHealth"
208,"Cooking"
209,"Airline"
21,"Journalism"
211,"Presidential"
212,"Korean_American"
214,"Animal"
215,"Science"
216,"Welfare & Poverty"
217,"Military"
218,"Soccer"
219,"Classical_Music"
22,"Murder"
220,"Advertising"
221,"Gaming"
222,"Baseball"
223,"US_Politics"
224,"Culinary"
225,"MonetaryPolicy"
226,"Injury"
227,"Pharmaceuticals"
229,"Dining"
23,"Horticulture"
230,"Financial"
231,"Woman"
234,"PrivateEquity"
235,"Campaigns & Donors"
237,"Brexit"
238,"Musician"
239,"Economics"
24,"Regulation"
240,"Municipal_bonds"
241,"Espionage"
242,"Technology"
243,"Nutrition"
244,"Literacy"
245,"Murder"
246,"Sri_Lanka"
247,"Federal_Budget"
249,"Nature"
25,"Financial"
250,"Wildlife"
252,"Heart_failure"
253,"Banks"
254,"Russia & Ukraine"
255,"Philippine"
256,"Murder"
257,"Basketball"
258,"Criminal"
259,"Riley"
26,"Arrest"
260,"Sleep_Disorders"
261,"Art"
262,"Community"
263,"Election"
264,"Opinion"
265,"Disease"
266,"Photography"
267,"HolidaySeason"
269,"Music"
27,"Northern_Virginia"
270,"Baseball"
271,"Whitehouse"
273,"Earnings"
274,"Murder"
275,"Mining"
276,"Home"
277,"FamilyLaw"
279,"ArtificialIntelligence"
280,"ClimateChange"
281,"Amish_Community"
282,"Investigation"
284,"Presidential_election"
285,"Broadway"
286,"Biomedical"
287,"Healthcare"
288,"Credit_Cards"
29,"NBA"
290,"Trade"
291,"Murder"
293,"AmericanFootball"
294,"Auction"
295,"Lawsuit"
296,"Danielson"
297,"LongIslandBeaches"
298,"Elections"
299,"Vinyl"
3,"D.C. Politics"
30,"Money_Markets"
300,"Etiquette"
301,"Car

Trade"
303,"Airline"
304,"TravelIndustry"
306,"Homicide"
307,"Hospital"
308,"NFL"
309,"Restaurant"
31,"High_school_sports"
310,"Police"
311,"Agriculture"
312,"Iran-Contra"
313,"Mass_Transit"
314,"GovernmentAid"
315,"Awards"
317,"Racial"
318,"Foreign_exchange"
319,"CorporateFinance"
32,"California"
320,"Telecommunications"
321,"Literature"
322,"Consumerism"
323,"Olympic"
324,"VirginiaPolitics"
325,"Foreclosure"
326,"Radio"
327,"Washington_events"
328,"Native_American"
329,"Playboy"
33,"TV_Entertainment"
330,"Sports"
331,"Immigration"
332,"Securities"
333,"Defense"
334,"Technology"
336,"House_Speaker"
337,"Gender"
338,"Local_government"
339,"Postal_service"
34,"Probate"
340,"Meatloaf"
341,"BostonMarathon"
342,"Generational"
343,"E-commerce"
345,"Government"
346,"Maritime"
347,"Protest"
348,"Weisselberg"
349,"World_War_II"
35,"Identity"
36,"New_Jersey_Politics"
37,"News"
38,"Correction"
39,"SupremeCourt"
4,"Religion"
40,"FBI"
41,"Home_Pregnancy"
42,"Siemens"
43,"Constitution_Law"
44,"Congress"
46,"MiddleEastConflict"
47,"Maryland Politics"
48,"Inflation"
49,"Parenting"
5,"Commodity_Market"
50,"Baseball"
52,"Space"
53,"Government"
54,"Population"
55,"Earnings"
56,"FortMeade"
57,"Transportation"
58,"Budget"
59,"ExecutiveCompensation"
6,"Leah

Topic 7:
Core words: trump, mar-a-lago
Other words:"
61,"Tire"
62,"Social_media"
63,"Carson

Topic 64:
Core words: trump, impeachment
Other words: house, vote"
64,"Literature"
65,"Upton

or 

Upton_Sinclair"
67,"Labor"
