Country,Adjectival,Demonym,,,,
Abkhazia,Abkhaz,Abkhazians,,,,
Afghanistan,Afghan,Afghans,,,,
Åland,Åland Island,Ålanders,,,,
Albania,Albanian,Albanians,,,,
Algeria,Algerian,Algerians,,,,
Andorra,Andorran,Andorrans,,,,
Angola,Angolan,Angolans,,,,
Anguilla,Anguillan,Anguillans,,,,
Antigua and Barbuda,Antiguan,Antiguans,,,,
Argentina,Argentine,Argentines,,,,
Armenia,Armenian,Armenians,,,,
Aruba,Aruban,Arubans,,,,
Australia,Australian,Australians,,,,
Austria,Austrian,Austrians,,,,
Azerbaijan,Azerbaijani,Azerbaijanis,,,,
The Bahamas,Bahamian,Bahamians,,,,
Bahrain,Bahraini,Bahrainis,,,,
Bangladesh,Bangladeshi,Bangladeshis,,,,
Barbados,Barbadian,Barbadians,,,,
Belarus,Belarusian,Belarusians,,,,
Belgium,Belgian,Belgians,,,,
Belize,Belizean,Belizeans,,,,
Benin,Beninois,Beninois,,,,
Benin,Beninese,Beninese,,,,
Bermuda,Bermudian,Bermudians,,,,
Bhutan,Bhutanese,Bhutanese,,,,
Bolivia,Bolivian,Bolivians,,,,
Bosnia and Herzegovina,Bosnian,Bosnians,,,,
Botswana,Botswana,Batswana,,,,
Bouvet Island,Bouvet Island,Bouvet Islanders,,,,
Brazil,Brazilian,Brazilians,,,,
Brunei,Bruneian,Bruneians,,,,
Bulgaria,Bulgarian,Bulgarians,,,,
Burkina Faso,Burkinabé,Burkinabè,,,,
Burundi,Burundian,Burundians,,,,
Cabo Verde,Cabo Verdean,Cabo Verdeans,,,,
Cambodia,Cambodian,Cambodians,,,,
Cameroon,Cameroonian,Cameroonians,,,,
Canada,Canadian,Canadians,,,,
Cayman Islands,Caymanian,Caymanians,,,,
Central African Republic,Central African,Central Africans,,,,
Chad,Chadian,Chadians,,,,
Chile,Chilean,Chileans,,,,
China,Chinese,Chinese,,,,
Christmas Island,Christmas Island,Christmas Islanders,,,,
Cocos (Keeling) Islands,Cocos Island,Cocos Islanders,,,,
Colombia,Colombian,Colombians,,,,
Comoros,Comoran,Comorans,,,,
Democratic Republic of the Congo,Congolese,Congolese,,,,
Republic of the Congo,Congolese,Congolese,,,,
Cook Islands,Cook Island,Cook Islanders,,,,
Costa Rica,Costa Rican,Costa Ricans,,,,
Croatia,Croatian,Croatians,,,,
Croatia,Croatian,Croats,,,,
Cuba,Cuban,Cubans,,,,
Curaçao,Curaçaoan,Curaçaoans,,,,
Cyprus,Cypriot,Cypriots,,,,
Czech Republic,Czech,Czechs,,,,
Denmark,Danish,Danes,,,,
Djibouti,Djiboutian,Djiboutians,,,,
East Timor[e],Timorese,Timorese,,,,
Ecuador,Ecuadorian,Ecuadorians,,,,
Egypt,Egyptian,Egyptians,,,,
El Salvador,Salvadoran,Salvadorans,,,,
England,English,English,,,,
Eritrea,Eritrean,Eritreans,,,,
Estonia,Estonian,Estonians,,,,
Eswatini,Swazi,Swazis,,,,
