"","Category","group","early_value","early_upper","early_lower","late_value","late_upper","late_lower"
"1","Politics","party",0.31403022436545,0.342860628143207,0.285288139940263,0.407549824391272,0.433927879129324,0.382772966659471
"2","Politics","ideology",0.264118715356516,0.292270627009041,0.235898949308044,0.350908050107176,0.376267530415735,0.32649906743738
"3","Race and Immigration","ideology",0.193842174935216,0.219950605151363,0.167431766393622,0.291824493619817,0.316965102147109,0.267608790959822
"4","Gender and Family","ideology",0.19270817883891,0.218525236280793,0.166033807844027,0.277604818660174,0.303066938570666,0.252430982498749
"5","Legal Institution","ideology",0.191040058274696,0.214931397717869,0.166370863121844,0.277327344898368,0.301454867744486,0.253396333729053
"6","Legal Institution","party",0.218996231571437,0.24138898428077,0.196344641762245,0.276900882830599,0.29874514044818,0.254802792688213
"7","Religion","ideology",0.196780638784498,0.224977526219534,0.167467113379108,0.269184423469517,0.298044569377019,0.240355042104992
"8","Education","ideology",0.193836361239043,0.218070317317826,0.168920880782728,0.262486029342005,0.285747792588996,0.239509063187984
"9","Race and Immigration","party",0.179157432543923,0.202822864494683,0.154774484711976,0.261725759003932,0.28518084190126,0.238499920292918
"10","Education","party",0.191600722337723,0.214162032295665,0.168748117232395,0.244993978595542,0.26563155737654,0.224124241959712
"11","Gender and Family","party",0.171940271305127,0.194766117906414,0.147872972296219,0.242308151553791,0.264592682093505,0.219821371015624
"12","Media","ideology",0.185983090140228,0.210348821052683,0.160864019590501,0.238159406383814,0.261408355752461,0.214707159964863
"13","Economic Issues","party",0.210188755331735,0.232857707001682,0.187324088481985,0.234837312498575,0.25674994820214,0.212928579913969
"14","Crime and Policing","party",0.178913245735048,0.201055129983889,0.156425550357831,0.231015207188756,0.251519584522765,0.210405745227527
"15","Gun","ideology",0.149142294339194,0.173522180156506,0.124045345455449,0.228193102284072,0.252152884621011,0.204862340548998
"16","Economic Issues","ideology",0.204152539159332,0.228205804667802,0.179760745185113,0.227766753175291,0.250431902964849,0.204983192487767
"17","Gun","party",0.160237264523797,0.183549648914777,0.136446595962654,0.22735434680934,0.249725862885453,0.205703800310587
"18","Foreign Affairs","ideology",0.167389282263382,0.192349494667687,0.141552703357513,0.226129856106809,0.250100267823693,0.202091075525986
"19","Foreign Affairs","party",0.171630293730937,0.195092754608496,0.147632055958614,0.222323635441557,0.244366938091421,0.200331592388855
"20","Religion","party",0.177075472713514,0.201386795824033,0.151913727955412,0.216867059182516,0.240789449428163,0.192560583336928
"21","Media","party",0.185048622857015,0.207578309603915,0.1622074112999,0.21586942016667,0.236654574598639,0.195006607537597
"22","Crime and Policing","ideology",0.151166706854811,0.174576143949578,0.127008799743008,0.215762095549827,0.237728248161744,0.193733698162612
"23","Creative Arts","ideology",0.175049065786712,0.198802938166209,0.150889006999498,0.212131488421046,0.23384358994533,0.190192893714305
"24","Science","ideology",0.156317406418193,0.179663149961611,0.132324339828822,0.210785789286806,0.234321596118654,0.186905632561806
"25","Environment","party",0.154687703822532,0.175665686866623,0.133319924637298,0.210246669847601,0.230905683770427,0.18938214726647
"26","Health","ideology",0.150872470898807,0.173996730490898,0.127018146034988,0.209428624957046,0.231870020688905,0.186729245174693
"27","Environment","ideology",0.145565179830782,0.16756932318059,0.122926004462208,0.208849095215191,0.231240470893497,0.186511199972278
"28","Housing","ideology",0.168822234633248,0.192499973875342,0.144710540015702,0.203173988022282,0.225533188600413,0.181016518517859
"29","Science","party",0.16405675555698,0.185249097295006,0.142689469771613,0.201892934748403,0.222514493452769,0.181502390057808
"30","Housing","party",0.171227401156704,0.193254629744457,0.148767487116665,0.201496658101558,0.222318273185835,0.180906050067422
"31","Leisure","ideology",0.157349330072602,0.181170888501504,0.132839593590164,0.197162151533888,0.219785534164365,0.174263405649923
"32","Health","party",0.146125603665179,0.166994965955619,0.124616519897079,0.196896499912524,0.217418222793627,0.176378997295056
"33","Sports","party",0.180198426803315,0.202597197567459,0.158182666644338,0.196367581152532,0.217961839611085,0.175152449129947
"34","Animals","ideology",0.160233118406172,0.184443686033148,0.135321516371597,0.195943754454488,0.2195738902953,0.171586265938408
"35","Food & Drinks","ideology",0.154235661227422,0.176560767900732,0.131015716682711,0.19287376709245,0.213804458976974,0.171211009491292
"36","Leisure","party",0.161916617171595,0.183627278450643,0.139540932536657,0.191491475221047,0.211983731581155,0.170229551141538
"37","Transportation","ideology",0.154090058566996,0.176961610819757,0.130456164769956,0.191382974915887,0.213580595611008,0.16890636992788
"38","Transportation","party",0.165828575213053,0.187931105181282,0.143116682292324,0.191012340183126,0.211893505681244,0.169762274641883
"39","Animals","party",0.16291786084801,0.185641560759494,0.139599837334153,0.188611581947987,0.210486385662592,0.165927951568823
"40","Infrastructure","party",0.160648419781611,0.1822481482876,0.138578798793283,0.188145672446687,0.209599138701095,0.166494801735848
"41","Infrastructure","ideology",0.145934572162473,0.168279418198752,0.12278344355254,0.1880863341775,0.210419957406229,0.165267579614887
"42","Sports","ideology",0.15165097951858,0.174738660195873,0.12829788769976,0.18673848745865,0.209272317121752,0.164043552791076
"43","Creative Arts","party",0.160277605185926,0.181304570366983,0.138930451716268,0.1822469754262,0.201081745276822,0.163181355191218
"44","Food & Drinks","party",0.148902033889229,0.168821117159501,0.128203244834112,0.173204098776031,0.191795807960412,0.15391044099573
"45","Outer Space","ideology",0.132527034618993,0.155091414182026,0.108974331119925,0.172506052472864,0.194465220602939,0.150378198642103
"46","Financial Market","ideology",0.14496310576842,0.166269141413625,0.122959053316529,0.171038905695918,0.193080588443184,0.148560155272762
"47","Outer Space","party",0.142580099378875,0.164155983452813,0.120397849590237,0.169859395266483,0.189982378146541,0.149567495187764
"48","Financial Market","party",0.156014609439882,0.175426071193784,0.136246297937768,0.166125206823194,0.186632028454892,0.145305189805713
"49","Home","ideology",0.112115872838484,0.131108303871964,0.0918141475031915,0.150996909550967,0.168572587649957,0.132532494324814
"50","Home","party",0.111906135475835,0.128915668538791,0.0937276762836877,0.148519192918674,0.164270586071758,0.131860526273009
